id,number_of_reviews,reviews_per_month,last_review
498859,73,1.07,2020-08-29
499249,1,0.01,2012-06-28
500886,115,1.21,2021-07-26
501082,189,1.87,2020-02-19
503460,11,0.18,2018-10-22
503585,5,0.05,2021-06-21
503722,19,0.25,2020-01-01
503790,28,0.27,2020-12-06
504322,18,0.16,2017-07-01
504362,68,0.96,2021-06-20
504437,64,0.72,2019-09-03
505029,13,0.14,2017-06-02
505231,1,0.01,2012-06-22
505315,45,0.74,2019-10-27
505581,21,0.22,2014-01-01
507393,54,0.51,2019-10-27
508372,9,0.09,2019-12-29
509989,153,1.53,2019-11-30
511960,15,0.21,2015-07-05
512209,64,0.91,2020-01-01
513343,1,0.01,2012-07-11
513688,184,1.9,2021-07-01
516461,9,0.14,2016-03-15
517626,10,0.1,2014-01-01
517654,3,0.03,2013-09-01
518566,15,0.39,2020-10-02
518960,308,2.87,2021-08-01
519310,262,2.64,2020-03-11
521018,3,0.05,2013-08-12
521522,5,0.05,2012-12-31
521807,61,1.46,2018-10-21
523123,29,0.52,2021-06-29
525120,45,0.49,2019-05-27
525523,39,1.04,2019-12-10
526923,27,0.26,2019-10-27
526942,5,0.26,2020-04-05
528485,6,0.19,2019-04-30
528615,1,0.01,2015-05-23
530431,247,2.37,2021-07-18
530576,89,0.83,2020-11-07
531258,20,0.18,2020-08-22
531455,25,0.23,2019-06-05
532288,107,1.66,2019-10-22
532749,96,1.14,2021-07-03
533168,98,0.9,2021-07-31
535352,45,0.92,2020-01-01
536578,20,0.21,2021-04-15
538344,219,2.6,2021-07-19
538590,74,0.98,2019-05-15
540057,154,2.0,2021-07-31
541725,35,0.5,2019-04-07
543792,121,1.12,2020-04-27
544331,15,0.25,2018-05-02
545261,2,0.02,2015-08-07
545651,19,0.71,2019-05-17
546383,525,5.46,2021-07-07
546573,70,0.69,2019-12-01
549873,5,0.06,2015-05-25
550653,6,0.15,2018-09-30
550777,35,0.33,2021-07-15
550858,15,0.25,2017-06-29
552502,13,0.12,2019-10-05
552519,248,2.43,2020-11-29
552639,57,1.31,2019-12-28
557487,24,0.23,2019-05-10
560078,97,0.9,2021-07-16
563442,29,0.28,2016-07-26
564447,237,2.66,2021-01-02
565814,1,0.02,2016-12-28
566712,141,2.46,2020-01-12
567075,24,0.52,2019-10-26
568661,51,0.49,2021-07-29
568684,6,0.07,2018-04-15
568743,288,2.69,2021-07-22
569255,45,0.51,2021-05-31
570218,28,1.38,2020-03-01
570750,263,2.47,2021-07-09
570797,18,0.17,2019-10-14
571564,125,1.15,2019-10-05
573612,146,1.54,2019-11-19
573671,43,0.52,2021-07-01
573870,21,0.2,2021-06-19
575061,175,2.93,2021-05-31
576227,4,0.07,2012-07-29
576916,4,0.04,2012-08-01
577243,20,0.23,2021-06-01
577824,16,0.36,2020-11-21
579251,27,1.57,2020-03-14
580323,67,1.69,2020-01-01
581180,79,0.78,2021-07-06
582372,23,0.21,2016-07-01
583352,5,0.05,2013-04-01
587519,1,0.01,2015-03-31
587698,79,0.91,2021-07-30
587740,15,0.14,2021-04-03
588677,2,0.02,2021-04-30
590903,54,0.53,2018-11-27
591135,154,1.61,2020-03-08
591565,62,0.58,2014-04-27
591710,9,0.13,2018-08-24
592282,8,0.09,2018-09-16
592853,17,0.25,2017-01-01
593000,12,0.11,2014-10-24
593292,480,4.78,2021-07-31
594036,5,0.05,2015-10-11
596442,12,0.13,2021-04-28
597624,11,0.12,2013-12-15
597668,14,0.17,2018-01-18
599595,15,0.21,2020-01-01
599847,20,0.18,2015-11-23
600775,87,1.06,2021-03-19
600877,2,0.03,2015-12-29
602070,46,1.68,2020-01-21
604204,6,0.06,2020-12-01
606269,50,0.82,2021-06-27
607735,65,0.61,2021-05-03
607781,182,1.69,2021-07-21
607891,110,1.06,2019-09-30
609213,7,0.08,2012-08-22
611009,278,2.61,2020-03-13
612936,113,1.13,2019-12-21
613528,89,1.0,2020-03-25
614269,15,0.14,2017-07-29
616249,9,0.08,2020-01-31
618477,23,0.3,2019-12-19
618916,13,0.18,2019-08-19
624222,18,0.26,2019-04-21
627432,60,1.03,2019-10-14
628078,6,0.17,2012-10-01
