id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,availability_365
25344841,Manhattan,Harlem,40.81721,-73.95214,Entire home/apt,0
25345332,Brooklyn,Bedford-Stuyvesant,40.68455,-73.95025,Private room,0
25346963,Manhattan,Upper East Side,40.77741,-73.96258,Entire home/apt,192
25347359,Brooklyn,Canarsie,40.63328,-73.90796,Entire home/apt,104
25348802,Manhattan,Midtown,40.75847,-73.96579,Shared room,0
25349299,Brooklyn,Red Hook,40.67742,-74.01092,Entire home/apt,91
25350452,Brooklyn,Bushwick,40.6971,-73.90892,Entire home/apt,9
25350875,Brooklyn,Bushwick,40.68714,-73.91556,Entire home/apt,35
25352456,Manhattan,Harlem,40.80439,-73.95749,Private room,0
25354569,Brooklyn,Bedford-Stuyvesant,40.68151,-73.95292,Entire home/apt,180
25354678,Bronx,Edenwald,40.89077,-73.83536,Entire home/apt,44
25355219,Brooklyn,Prospect-Lefferts Gardens,40.66111,-73.94791,Private room,300
25355282,Brooklyn,Bedford-Stuyvesant,40.68918,-73.9288,Shared room,0
25356602,Queens,Springfield Gardens,40.66574,-73.77794,Private room,364
25365916,Brooklyn,Crown Heights,40.67665,-73.91814,Entire home/apt,363
25369155,Brooklyn,Brooklyn Heights,40.69133,-73.99177,Entire home/apt,0
25369739,Brooklyn,Gowanus,40.6685,-73.99177,Entire home/apt,220
25371790,Brooklyn,Red Hook,40.67887,-74.00785,Entire home/apt,5
25371837,Manhattan,Midtown,40.75042,-73.97153,Entire home/apt,201
25374003,Queens,Ditmars Steinway,40.78148,-73.918,Private room,89
25378040,Manhattan,Chinatown,40.71887,-73.99598,Private room,0
25379703,Manhattan,West Village,40.73208,-74.00562,Entire home/apt,0
25402549,Manhattan,Hell's Kitchen,40.75961,-73.99556,Private room,0
25403738,Manhattan,Midtown,40.75056,-73.97161,Private room,179
25407116,Bronx,Longwood,40.81512,-73.90035,Entire home/apt,364
25416257,Brooklyn,Prospect-Lefferts Gardens,40.66072,-73.94742,Entire home/apt,0
25416424,Manhattan,Harlem,40.81678,-73.93978,Entire home/apt,1
25417035,Brooklyn,Brooklyn Heights,40.69271,-73.99485,Entire home/apt,242
25420704,Brooklyn,Sheepshead Bay,40.58457,-73.93949,Private room,365
25425106,Brooklyn,Crown Heights,40.67211,-73.92631,Private room,89
25426781,Brooklyn,Park Slope,40.67761,-73.98155,Private room,51
25443451,Manhattan,Tribeca,40.71745,-74.00385,Entire home/apt,121
25446811,Brooklyn,Williamsburg,40.71001,-73.94365,Private room,0
25448433,Queens,Rego Park,40.73057,-73.86693,Private room,169
25456296,Queens,Hollis,40.71617,-73.7625,Private room,63
25456714,Manhattan,Lower East Side,40.7187,-73.98566,Entire home/apt,327
25457583,Manhattan,Washington Heights,40.83458,-73.94191,Private room,133
25458048,Brooklyn,Greenpoint,40.72257,-73.94247,Entire home/apt,0
25460977,Brooklyn,Crown Heights,40.6697,-73.93334,Entire home/apt,30
25468554,Brooklyn,Bushwick,40.686,-73.91567,Private room,307
25469769,Brooklyn,Clinton Hill,40.69295,-73.9683,Entire home/apt,0
25475518,Manhattan,East Harlem,40.7882,-73.94741,Entire home/apt,11
25475944,Bronx,Longwood,40.81541,-73.90144,Private room,262
25476912,Queens,Belle Harbor,40.57666,-73.85002,Private room,333
25480524,Manhattan,Upper West Side,40.77415,-73.98814,Private room,19
25483095,Manhattan,Hell's Kitchen,40.76881,-73.98585,Private room,0
25484150,Brooklyn,Williamsburg,40.71138,-73.94407,Private room,0
25484398,Brooklyn,Greenpoint,40.72561,-73.94929,Entire home/apt,0
25484515,Bronx,Edenwald,40.89124,-73.84144,Private room,365
25486302,Manhattan,Midtown,40.74625,-73.98065,Entire home/apt,338
25488542,Manhattan,Washington Heights,40.84567,-73.93805,Private room,0
25489369,Manhattan,West Village,40.73088,-74.00328,Entire home/apt,0
25491908,Brooklyn,Williamsburg,40.70891,-73.92296,Shared room,0
25492295,Manhattan,Harlem,40.8041,-73.95428,Entire home/apt,0
25503835,Brooklyn,Canarsie,40.64558,-73.89528,Private room,153
25508055,Brooklyn,Fort Greene,40.69409,-73.97072,Private room,0
25510480,Manhattan,Harlem,40.79967,-73.95265,Private room,0
25512049,Brooklyn,Greenpoint,40.73362,-73.95842,Entire home/apt,0
25512622,Manhattan,Inwood,40.86573,-73.92314,Private room,0
25513772,Brooklyn,Bushwick,40.70162,-73.92326,Private room,0
25515856,Manhattan,Upper West Side,40.78184,-73.98199,Entire home/apt,0
25517197,Manhattan,SoHo,40.7239,-74.00521,Entire home/apt,0
25517202,Brooklyn,Bedford-Stuyvesant,40.68621,-73.92027,Private room,0
25517407,Brooklyn,Williamsburg,40.71717,-73.9571,Private room,29
25518572,Brooklyn,Midwood,40.62441,-73.96072,Entire home/apt,335
25518658,Manhattan,West Village,40.73416,-74.01096,Entire home/apt,0
25519328,Manhattan,Harlem,40.80959,-73.94377,Shared room,83
25519674,Manhattan,Hell's Kitchen,40.76642,-73.98738,Private room,0
25519971,Brooklyn,Brownsville,40.65686,-73.90311,Private room,0
25521464,Queens,Rockaway Beach,40.58746,-73.80084,Entire home/apt,311
25534630,Brooklyn,Gowanus,40.67793,-73.98318,Entire home/apt,4
25537456,Manhattan,Upper East Side,40.76418,-73.96742,Entire home/apt,173
25539490,Brooklyn,Bedford-Stuyvesant,40.67893,-73.90951,Private room,88
25540851,Brooklyn,Park Slope,40.67269,-73.98567,Entire home/apt,0
25543393,Brooklyn,Williamsburg,40.70794,-73.93511,Entire home/apt,75
25545177,Queens,Ridgewood,40.70524,-73.90222,Entire home/apt,89
25548071,Manhattan,SoHo,40.72151,-74.00019,Private room,0
25552076,Brooklyn,Williamsburg,40.71397,-73.94185,Entire home/apt,50
25554120,Manhattan,Upper East Side,40.77611,-73.95152,Entire home/apt,0
25571627,Brooklyn,Flatlands,40.62979,-73.91918,Entire home/apt,4
25580113,Brooklyn,Williamsburg,40.71618,-73.94071,Entire home/apt,46
25582365,Manhattan,Washington Heights,40.85178,-73.93654,Entire home/apt,0
