id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7309427,Beautiful Architect Renovated Home,38292974,Mark,Brooklyn,South Slope,40.66477,-73.98797,Entire home/apt,399,30,14,2019-12-27,0.29,1,22
7309633,Small One Bedroom BK - Quiet n Cute,38294553,Joan,Brooklyn,Bedford-Stuyvesant,40.68288,-73.94846,Entire home/apt,78,30,1,2015-08-08,0.01,1,0
7310097,"3 Bedroom, 1st Fl, family apt.",38297695,Suvi,Brooklyn,Prospect Heights,40.67846,-73.96855,Entire home/apt,150,30,1,2016-01-05,0.01,1,0
7310330,East Village! Beautiful 2BD Apt.,38294027,Rushil,Manhattan,East Village,40.72254,-73.98585,Entire home/apt,300,30,1,2015-07-21,0.01,1,0
7310835,SoHo 2 Bedroom 2 Full Bath with Private Terrace,3390947,Yulia,Manhattan,Tribeca,40.71931,-74.00423,Entire home/apt,800,3,36,2021-06-27,0.58,1,20
7311209,SUPER HUGE ROOM IN GREENPOINT BK,1641537,Lauren,Brooklyn,Greenpoint,40.72348,-73.9412,Private room,50,30,7,2016-03-09,0.1,2,0
7318332,Our lovely nest in the West Village,38337856,Antoine,Manhattan,Greenwich Village,40.73195,-73.9969,Entire home/apt,63,30,30,2021-03-11,0.42,1,0
7319791,Cozy  room at trendy Lower east side,19195540,Dor,Manhattan,Chinatown,40.7175,-73.99177,Private room,105,3,140,2021-07-20,2.17,3,119
7320160,Charming Old-School Apartment 2,19692652,Benjamin,Brooklyn,Clinton Hill,40.69262,-73.96886,Private room,60,30,42,2017-07-16,0.65,1,0
7320353,"Clean,quiet room near prospect park",5499953,R Demetre,Brooklyn,Crown Heights,40.67035,-73.95328,Private room,125,1,2,2015-10-08,0.03,2,364
7321054,"Great room, 7 min from Manhattan!",38352423,Ashley,Queens,Long Island City,40.75508,-73.92918,Private room,45,1,1,2015-07-20,0.01,1,0
7322088,A Bedroom in a Kosher Appartment,24259346,Johnathan Boev,Queens,Rego Park,40.72637,-73.85621,Private room,45,30,2,2015-08-28,0.03,1,0
7323905,Stylish East Village One Bedroom Apartment,2303270,Zeina,Manhattan,Stuyvesant Town,40.73062,-73.97991,Entire home/apt,199,30,28,2020-01-02,0.71,1,0
7324746,Cozy & Sunny Sage Room in Townhouse,942252,Kimberly,Brooklyn,Prospect Heights,40.67897,-73.9678,Private room,75,1,8,2015-08-24,0.11,2,0
7325293,Big Room in the heart of Upper East,1841169,Clara,Manhattan,Upper East Side,40.7704,-73.95672,Entire home/apt,300,30,1,2015-09-29,0.01,1,0
7327782,Light-Drenched Private 1 Bedroom,38388018,Ruth,Brooklyn,Crown Heights,40.66651,-73.92779,Private room,40,2,82,2021-04-17,2.15,1,0
7327833,Charming Apartment in Crown Heights,27630423,Julianne,Brooklyn,Crown Heights,40.67527,-73.94236,Entire home/apt,120,30,2,2015-10-03,0.03,1,0
7328775,The studio on the park!,38392850,Emma,Brooklyn,Fort Greene,40.68801,-73.97383,Entire home/apt,150,30,10,2016-03-28,0.14,1,0
